"nombrep","codigogrupop","nombreh","codigogrupoh","nombre_mat","codigo_materia","codenservicio_mat"
"MATERIAS BASICAS","2436","CIENCIAS EXPERIMENTALES","4442","FISICA GENERAL 1","18486","1170"
"MATERIAS BASICAS","2436","CIENCIAS EXPERIMENTALES","4442","FISICA GENERAL 1","18453","1120"
"MATERIAS BASICAS","2436","CIENCIAS EXPERIMENTALES","4442","FISICA GENERAL 2","18457","1121"
"MATERIAS BASICAS","2436","CIENCIAS EXPERIMENTALES","4442","FISICA GENERAL 2","18484","1172"
"MATERIAS BASICAS","2436","CIENCIAS EXPERIMENTALES","4442","FÍSICA IA- LDI.CIOCT","41510","REF05"
"MATERIAS BASICAS","2436","CIENCIAS EXPERIMENTALES","4442","FÍSICA I B CIO CT-LDI","41511","REF06"
"MATERIAS BASICAS","2436","CIENCIAS EXPERIMENTALES","4442","FISICA III (P. 74)","18629","CP43"
"MATERIAS BASICAS","2436","CIENCIAS EXPERIMENTALES","4442","FISICA II (P. 74)","18630","CP42"
"MATERIAS BASICAS","2436","CIENCIAS EXPERIMENTALES","4442","FISICA I (P. 74)","18637","CP41"
"MATERIAS BASICAS","2436","CIENCIAS EXPERIMENTALES","4442","GENÉTICA GENERAL","65354","MHC24"
"MATERIAS BASICAS","2436","CIENCIAS EXPERIMENTALES","4442","GENÓMICA","65352","MHC20"
"MATERIAS BASICAS","2436","CIENCIAS EXPERIMENTALES","4442","INT. A LA FISICA MODERNA","18515","1131"
"MATERIAS BASICAS","2436","CIENCIAS EXPERIMENTALES","4442","INTRODUCCIÓN A LAS CIENCIAS BIOLÓGICAS II (TEÓRICO)","65448","203EU"
"MATERIAS BASICAS","2436","CIENCIAS EXPERIMENTALES","4442","MECANICA GENERAL I","19545","CP217"
"MATERIAS BASICAS","2436","CIENCIAS EXPERIMENTALES","4442","MECANICA GENERAL II (P. 74)","18638","CP40"
"MATERIAS BASICAS","2436","CIENCIAS EXPERIMENTALES","4442","MECANICA GENERAL I (P. 74)","18611","CP26"
"MATERIAS BASICAS","2436","CIENCIAS EXPERIMENTALES","4442","MECANICA I","21311","CP3"
"MATERIAS BASICAS","2436","CIENCIAS EXPERIMENTALES","4442","MECANICA II","21316","CP8"
"MATERIAS BASICAS","2436","CIENCIAS EXPERIMENTALES","4442","MECANICA I (TRANSICION)","18651","CP17"
"MATERIAS BASICAS","2436","CIENCIAS EXPERIMENTALES","4442","METODOS CUANTITATIVOS III - PAYSANDU","63689","M000"
"MATERIAS BASICAS","2436","CIENCIAS EXPERIMENTALES","4442","MM. CC. III - (MTDEO) - DISEÑO Y ANALISIS DE EXPERIMENTOS","63618","M001"
"BASICO-TEC,TECNICAS E INTEG.","3215","GESTION EN ORGANIZACIONES","4066","ADMINISTRACION GENERAL PARA INGENIEROS","20484","1944"
"BASICO-TEC,TECNICAS E INTEG.","3215","GESTION EN ORGANIZACIONES","4066","CAMBIO ORGANIZACIONAL","37476","A83"
"BASICO-TEC,TECNICAS E INTEG.","3215","GESTION EN ORGANIZACIONES","4066","COMUNICACIÓN ESTRATÉGICA","36901","O1145"
"BASICO-TEC,TECNICAS E INTEG.","3215","GESTION EN ORGANIZACIONES","4066","CONTROL DE CALIDAD","20449","1901"
"BASICO-TEC,TECNICAS E INTEG.","3215","GESTION EN ORGANIZACIONES","4066","CONTROL DE CALIDAD","20864","1510"
"BASICO-TEC,TECNICAS E INTEG.","3215","GESTION EN ORGANIZACIONES","4066","CREDITOS ASIGNADOS POR REVALIDA","21468","GO9"
"BASICO-TEC,TECNICAS E INTEG.","3215","GESTION EN ORGANIZACIONES","4066","CREDITOS ASIGNADOS POR REVALIDA","44186","GO10"
"BASICO-TEC,TECNICAS E INTEG.","3215","GESTION EN ORGANIZACIONES","4066","CREDITOS ASIGNADOS POR REVALIDA","21166","GA10"
"BASICO-TEC,TECNICAS E INTEG.","3215","GESTION EN ORGANIZACIONES","4066","CREDITOS ASIGNADOS POR REVALIDA","21471","GO6"
"BASICO-TEC,TECNICAS E INTEG.","3215","GESTION EN ORGANIZACIONES","4066","CREDITOS ASIGNADOS POR REVALIDA","21467","GO8"
"BASICO-TEC,TECNICAS E INTEG.","3215","GESTION EN ORGANIZACIONES","4066","GESTION DE CALIDAD","20462","1921"
"BASICO-TEC,TECNICAS E INTEG.","3215","GESTION EN ORGANIZACIONES","4066","GESTION DE CALIDAD","20481","1940"
"BASICO-TEC,TECNICAS E INTEG.","3215","GESTION EN ORGANIZACIONES","4066","GESTION DE CALIDAD","66458","1954"
"BASICO-TEC,TECNICAS E INTEG.","3215","GESTION EN ORGANIZACIONES","4066","GESTIÓN DE LA INNOVACIÓN Y LA TECNOLOGÍA","3452","A62"
"BASICO-TEC,TECNICAS E INTEG.","3215","GESTION EN ORGANIZACIONES","4066","GESTIÓN DE PROYECTOS","63430","AT010"
"BASICO-TEC,TECNICAS E INTEG.","3215","GESTION EN ORGANIZACIONES","4066","INT. A LA ADMINISTRACION PARA INGENIEROS","20859","1519"
"BASICO-TEC,TECNICAS E INTEG.","3215","GESTION EN ORGANIZACIONES","4066","INT. A LAS ORGANIZACIONES","20871","1507"
"BASICO-TEC,TECNICAS E INTEG.","3215","GESTION EN ORGANIZACIONES","4066","INT. AL NEGOCIO DEL SOFTWARE","36914","1543"
"BASICO-TEC,TECNICAS E INTEG.","3215","GESTION EN ORGANIZACIONES","4066","INTRODUCCIÓN AL EMPRENDEDURISMO","3453","A65"
"BASICO-TEC,TECNICAS E INTEG.","3215","GESTION EN ORGANIZACIONES","4066","INTRODUCCIÓN A LOS SISTEMAS DE GESTIÓN","65435","618EU"
"BASICO-TEC,TECNICAS E INTEG.","3215","GESTION EN ORGANIZACIONES","4066","LEGISLACION Y RELACIONES INDUSTRIALES","22336","2401"
"BASICO-TEC,TECNICAS E INTEG.","3215","GESTION EN ORGANIZACIONES","4066","ORGANIZACION DE EMPRESAS (P. 74)","19220","CP375"
"BASICO-TEC,TECNICAS E INTEG.","3215","GESTION EN ORGANIZACIONES","4066","ORGANIZACIONES PARA INGENIEROS","20476","1930"
"BASICO-TEC,TECNICAS E INTEG.","3215","GESTION EN ORGANIZACIONES","4066","ORGANIZACIONES Y SU ADMINISTRACION","20868","1514"
"BASICO-TEC,TECNICAS E INTEG.","3215","GESTION EN ORGANIZACIONES","4066","PLANIFICACIÓN ESTRATÉGICA","14205","D85"
"BASICO-TEC,TECNICAS E INTEG.","3215","GESTION EN ORGANIZACIONES","4066","PRACTICA DE ADMINISTRACION PARA INGENIEROS","20487","1945"
"BASICO-TEC,TECNICAS E INTEG.","3215","GESTION EN ORGANIZACIONES","4066","PROPIEDAD INTELECTUAL","63466","559EU"
"BASICO-TEC,TECNICAS E INTEG.","3215","GESTION EN ORGANIZACIONES","4066","PROSPECTIVA ESTRATÉGICA: CON LA MIRADA EN EL FUTURO","61572","I87"
"BASICO-TEC,TECNICAS E INTEG.","3215","GESTION EN ORGANIZACIONES","4066","SOCIOLOGÍA DE LA EMPRESA Y MANAGEMENT","58006","S42"
"BASICO-TEC,TECNICAS E INTEG.","3215","ARQUIT, S.OP. Y REDES DE COMP.","4428","ANALISIS Y DISEÑO DE ALGORIT.DISTRIB.EN REDES","18415","1440"
"BASICO-TEC,TECNICAS E INTEG.","3215","ARQUIT, S.OP. Y REDES DE COMP.","4428","ARQUITECTURA DE COMPUTADORAS","79424","1466"
