cod_materia,codenservicio_mat,nombre_mat
75189,1890,CALIDAD DE DATOS E INFORMACIÓN
37476,A83,CAMBIO ORGANIZACIONAL
70213,1880,CIENCIA DE DATOS Y LENGUAJE NATURAL
14129,D78A,"CIENCIA,TECNOLOGÍA, INNOVACIÓN, SOCIEDAD Y DESARROLLO"
18529,1223,"CIENCIA, TECNOLOGIA Y SOCIEDAD"
69090,1270,CIUDADANIA EN ENTORNOS DIGITALES
73939,1271,CIUDADANIA EN ENTORNOS DIGITALES
62424,2415,CODIGOS PARA CORRECCION DE ERRORES
18794,1012,COMBINATORIA ANALITICA
37127,1453,COMPL.ARQUITECTURA DE COMPUTADORAS
40450,1355,COMPLEJIDAD COMPUTACIONAL
18257,1352,COMPRESION DE DATOS SIN PERDIDA
18408,1434,COMPUTACION DE ALTA PERFORMANCE
18254,1349,COMPUTACION GRAFICA AVANZADA
18433,1447,COMPUT.DE PR.GRAL.EN UNID.DE PROC.GRAF.
36901,O1145,COMUNICACIÓN ESTRATÉGICA
78890,1374,CONCEPTOS DE LENGUAJES DE PROGRAMACIÓN
18261,1337,CONST.FORMAL DE PROGR.EN TEORIA DE TIPOS
18252,1347,CONST.FORMAL DE PROGR.EN TEORIA DE TIPOS
20864,1510,CONTROL DE CALIDAD
42488,1545,CRIPTOGRAFIA
18853,1059,CRIPTOGRAFIA:ASPECTOS TEOR. Y PRACTICOS
40448,1353,DIDACTICA DE ALGORIT.Y ESTRUCT.DE DATOS
18276,1331,DISEÑO DE COMPILADORES
36820,A42,DISEÑO ORGANIZACIONAL
56442,1458,DISEÑO TOPOLOGICO DE REDES
18407,1435,DISEÑO TOPOLOGICO DE REDES
20477,1939,DISEÑO Y CONSTRUCCION DE DATA WAREHOUSE
18560,1224,ECONOMIA
18820,1028,ECUACIONES DIFERENCIALES
24889,CIM24,ECUACIONES DIFERENCIALES
78118,M014,ESTRATEGIAS PARA APRENDER: DESARROLLANDO ESTRATEGIAS P/ESTUDIAR EN LA UNIV.
18490,1151,FISICA 1
25003,REF04,FÍSICA 1
73725,SRN50,FISICA 1A CIOCT 2023
18488,1152,FISICA 2
24407,SRN11,FÍSICA 2
18489,1153,FISICA 3
24405,SRN26,FÍSICA 3
41510,REF05,FÍSICA IA- LDI.CIOCT
41511,REF06,FÍSICA I B CIO CT-LDI
14209,D84,FORMULACIÓN Y EVALUACIÓN DE PROYECTOS DE INVERSIÓN
55775,1066,FUNCIONES DE VARIABLE COMPLEJA
57284,5852,FUNDAMENTOS DE APRENDIZAJE AUTOMATICO Y RECONOCIMIENTO DE PATRONES
20458,1911,FUNDAMENTOS DE BASES DE DATOS
40452,1857,FUNDAMENTOS DE LA ROBOTICA AUTONOMA
20482,1942,FUNDAMENTOS DE LA WEB SEMANTICA
65070,1871,FUNDAMENTOS DE OPTIMIZACION
20786,1631,FUNDAMENTOS DE PROGRAMACION ENTERA
20742,5916,FUNDAMENTOS DE SEGURIDAD INFORMATICA
18815,1030,GEOMETRIA Y ALGEBRA LINEAL 1
18846,1053,GEOMETRIA Y ALGEBRA LINEAL 1 (ANUAL)
74520,GAL1P,GEOMETRIA Y ALGEBRA LINEAL 1 INTERACTIVA
18814,1031,GEOMETRIA Y ALGEBRA LINEAL 2
20481,1940,GESTION DE CALIDAD
66458,1954,GESTION DE CALIDAD
3452,A62,GESTIÓN DE LA INNOVACIÓN Y LA TECNOLOGÍA
3456,A66,GESTIÓN DE PROYECTOS
20534,1835,GRAMATICAS FORMALES PARA EL LENG.NATURAL
56658,3207,HERRAMIENTAS P/EL DISEÑO Y ANALISIS DE REDES DE TRANSP.URB DE PASAJEROS
