nombrep,codigogrupop,nombreh,codigogrupoh,nombre_mat,codigo_materia,codenservicio_mat,tipo_mat,creditos_mat
MATERIAS BASICAS,2436,MATEMATICA,4083,LOGICA,18823,1027,G,12
MATERIAS BASICAS,2436,MATEMATICA,4083,LOGICA,21312,CP4,G,10
MATERIAS BASICAS,2436,MATEMATICA,4083,LOGICA MODALIDAD AL REVES,45920,1013,G,12
MATERIAS BASICAS,2436,MATEMATICA,4083,LOGICA Y COMPUTACION,18797,1010,G,12
MATERIAS BASICAS,2436,MATEMATICA,4083,MATEMÁTICA DISCRETA,77324,DMA02,G,12
MATERIAS BASICAS,2436,MATEMATICA,4083,MATEMATICA DISCRETA 1,18807,1023,G,9
MATERIAS BASICAS,2436,MATEMATICA,4083,MATEMATICA DISCRETA 2,18822,1026,G,9
MATERIAS BASICAS,2436,MATEMATICA,4083,MATEMÁTICA DISCRETA 2- CIM-CIOCT,24891,CIM11,G,10
MATERIAS BASICAS,2436,MATEMATICA,4083,MATEMÁTICA DISCRETA I,24415,SRN14,G,10
MATERIAS BASICAS,2436,MATEMATICA,4083,MATEMATICA I,16560,RN404,G,11
MATERIAS BASICAS,2436,MATEMATICA,4083,MATEMATICA II,16557,RN407,G,12
MATERIAS BASICAS,2436,MATEMATICA,4083,MATEMATICA INICIAL,57687,MI2,G,4
MATERIAS BASICAS,2436,MATEMATICA,4083,MATEMÁTICA INICIAL,78761,DMA05,G,4
MATERIAS BASICAS,2436,MATEMATICA,4083,MATEMATICA INICIAL-OPTATIVA,61481,SRN45,G,4
MATERIAS BASICAS,2436,MATEMATICA,4083,PROBABILIDAD Y ESTADISTICA,18857,1075,G,10
MATERIAS BASICAS,2436,MATEMATICA,4083,PROBABILIDAD Y ESTADISTICA,18809,1025,G,10
MATERIAS BASICAS,2436,MATEMATICA,4083,PROBABILIDAD Y ESTADÍSTICA,23998,CH201,G,10
MATERIAS BASICAS,2436,MATEMATICA,4083,TEMAS AVANZADOS EN CÓDIGOS PARA CORRECCIÓN DE ERRORES,77568,1899,G,7
MATERIAS BASICAS,2436,MATEMATICA,4083,TEORIA ALGEBRAICA DE GRAFOS,18826,1043,G,15
MATERIAS BASICAS,2436,MATEMATICA,4083,TEORIA DE COD. ALGEB. PARA CORR. DE ERRORES,18827,1042,G,7
MATERIAS BASICAS,2436,MATEMATICA,4083,TEORIA DE COD. ALGEB. PARA CORR. DE ERRORES,52932,1065,G,7
MATERIAS BASICAS,2436,MATEMATICA,4083,TEORIA DE CODIGOS,18831,1046,G,12
MATERIAS BASICAS,2436,MATEMATICA,4083,TEORIA DE CODIGOS AVANZADO,18795,1011,G,6
MATERIAS BASICAS,2436,MATEMATICA,4083,TEORÍA DE JUEGOS,14207,D87,G,6
MATERIAS BASICAS,2436,MATEMATICA,4083,TEORIA DE JUEGOS Y PROG. FUNCIONAL,18833,1037,G,7
