nombre_mat,cod_materia,semestre
FUNDAMENTOS DE OPTIMIZACION,1871,1
FUNDAMENTOS DE PROGRAMACION ENTERA,1631,1
FUNDAMENTOS DE SEGURIDAD INFORMATICA,5916,1
GEODESIA 1,1418,1
GEODESIA 3,1419,1
GEOFISICA,1421,1
GEOMETRIA Y ALGEBRA LINEAL 1,1030,1
GEOMETRIA Y ALGEBRA LINEAL 2,1031,1
GESTION DE CALIDAD,1940,1
GESTION DE LOS PROCES. EN LA INDUSTRIA,Q624,1
GESTION DE LOS RRHH. EN LA PROD. DE BIENES Y SERV.,1539,1
GESTION DE MANTENIMIENTO,1920,1
GESTION INTEGRADA DE REDES Y SERV. DE TELEC.,5815,1
GRAMATICAS FORMALES PARA EL LENG.NATURAL,1835,1
HIDRAULICA FLUVIAL Y MARITIMA,2397,1
HIDRODINAMICA NAVAL,2320,1
HORMIGON ESTRUCTURAL 1,2382,1
HORMIGON PRETENSADO,2355,1
IMAGENES MEDICAS: ADQUISICION,5707,1
INDUSTRIA CARNICA,Q26,1
INGENIERIA BIOQUIMICA,Q81,1
INGENIERIA DE LAS REACCIONES QUIMICAS 1,Q69,1
INGLES TECNICO,TIM81,1
INGLES TECNICO 1 (ACT.COMPL.1),TI04,1
INSTRUMENTACION INDUSTRIAL,2706,1
INSTRUMENTACION Y CONTROL,TIM72,1
INT. A LA CIENCIA DE LOS MATERIALES,TIM50,1
INT. A LA CIENCIA DE MATERIALES,1723,1
INT. A LA COMBUSTION,TIM47,1
INT. A LA COMPUTACION GRAFICA,1316,1
INT. A LA EVALUACION Y GESTION AMBIENTAL,2253,1
INT. A LA GEODESIA Y SIST. DE POS. GLOBAL,TCI11,1
INT. A LA INGENIERIA DE SOFTWARE,1716,1
INT. A LA INVESTIGACION DE OPERACIONES,1610,1
INT. A LA MECANICA DE SUELOS,2207,1
INT. A LA PREVENCION DE RIESGOS LABORALES,Q16,1
INT. A LA TEORIA DE LA INFORMACION,1450,1
INT. A LOS MICROPROCESADORES,1513,1
INT. A SIST. DE PROT. DE SIST. ELECT. DE POT.,5518,1
INT. AL ANALISIS RURAL,1611,1
INT. AL CONTROL INDUSTRIAL,2707,1
INT. AL TESTING FUNCIONAL,TI43,1
INTERACCION PERSONA COMPUTADORA,1749,1
INTERNADO DE INGENIERIA BIOMEDICA,5712,1
LABORATORIO DE RESISTENCIA DE MATERIALES,2379,1
LEGISLACION TERRITORIAL,TCI22,1
LOGICA,1027,1
MANTENIMIENTO DE BUQUES,2605,1
MAQUINAS ELECTRICAS,TIM71,1
MAQUINAS PARA FLUIDOS,TIM42,1
MAQUINAS PARA FLUIDOS I,1856,1
MATEMATICA,TI03,1
MATEMATICA DISCRETA Y LOGICA 1,TI02,1
MATEMATICA DISCRETA 1,1023,1
MATEMATICA DISCRETA 2,1026,1
MATEMATICA INICIAL,MI2,1
MATEMATICA 1,TIM20,1
MATEMATICA 3,TIM22,1
MATERIALES COMPUESTOS,1727,1
MATERIALES Y ENSAYOS,1508,1
MECANICA DEL TRANSPORTE DE SEDIMENTOS,1870,1
MECANICA ESTRUCTURAL,2381,1
MECANICA NEWTONIANA,1122,1
MEDIDAS ELECTRICAS,1461,1
METALURGIA DE TRANSFORMACION,TIM54,1
METALURGIA DE TRANSFORMACION,1724,1
METODOS MONTECARLO,1057,1
MODELOS ESTADISTICOS PARA CLASIF. Y REGRESION,1868,1
MÓDULO EXPERIMENTAL DE INGENIERÍA DE PROCESOS FÍSICOS,Q12,1
MÓDULO EXPERIMENTAL DE INGENIERÍA DE PROCESOS QUÍMICOS Y BIO,Q13,1
MODULO DE EXTENSION (ING. EN COMP.),,1
MODULO DE EXTENSION (AGRIMENSURA),,1
MODULO DE EXTENSION- INGENIERIA MECANICA,2032,1
