instituto,nombre,codigo,inscriptos
2,PROYECTO HIDRAULICA-AMBIENTAL,2405,5
8,PROYECTO INDUSTRIAL 1,Q80,44
3,PROYECTO TRANSPORTE 2,2403,8
Otros,REDES DE COMPUTADORAS,TI11,5
4,REDES DE DATOS 2,5855,27
4,REDES ELÉCTRICAS,5508,11
7,RELACIONES PERSONALES EN INGENIERÍA DE SOFTWARE Y GEREN,1758,53
8,REPRESENTACIÓN GRÁFICA PARA INDUSTRIA DE PROCESOS,1215,26
7,ROBÓTICA BASADA EN COMPORTAMIENTOS,1848,5
4,SEMINARIO DE INGENIERÍA BIOMÉDICA,5705,6
4,SEÑALES Y SISTEMAS,1457,66
2,SISTEMAS DE CONDUCCIÓN EN INGENIERÍA SANITARIA,1851,11
4,SISTEMAS DE CONTROL EN TIEMPO DISCRETO,5906,3
7,SISTEMAS DE INFORMACIÓN PARA EL ANÁLISIS DE GRANDES VOLÚ,1781,50
9,SISTEMAS DE REFERENCIA EN GEODESIA,2414,17
4,SISTEMAS EMBEBIDOS PARA TIEMPO REAL,1556,48
7,SISTEMAS OPERATIVOS,1537,339
4,SUBESTACIONES EN MEDIA TENSIÓN,5514,4
1,TALLER,2001,17
4,TALLER DE ADMINISTRACIÓN DE REDES Y SERVICIOS DE COMUNIC,TTR16,0
Otros,TALLER DE APLICACIONES DE INTERNET RICAS,TI25,8
4,TALLER DE APRENDIZAJE AUTOMÁTICO,5853,29
9,TALLER DE CARTAS GEOGRÁFICAS,TCI29,15
9,TALLER DE DATOS ESPACIALES Y SISTEMAS DE INFORMACIÓN GE,1359,35
3,TALLER DE INGENIERÍA CIVIL,2804,8
Otros,TALLER DE INGENIERÍA BIOLÓGICA I,LIB49,27
4,TALLER DE INTRODUCCIÓN A LA INGENIERÍA ELÉCTRICA,5904,199
4,TALLER DE MAQUINAS ELÉCTRICAS,5603,13
7,TALLER DE MINERÍA DE PROCESOS DE NEGOCIO (TPM),1876,12
12,TALLER DE REPRESENTACIÓN Y COMUNICACIÓN GRAFICA_MODUL,1266/9,250
7,TALLER DE ROBÓTICA EDUCATIVA,1780,30
7,TALLER DE SISTEMAS DE INFORMACIÓN GEOGRÁFICA EMPRESARIA,1776,32
Otros,TALLER DE SISTEMAS DE INFORMACIÓN GEOGRÁFICA,TI29,29
7,TALLER DE SISTEMAS CIBER-FISICOS,1952,5
Otros,TALLER DE SISTEMAS DE INFORMACIÓN JAVA EE,TI24,40
7,TALLER DE SISTEMAS EMPRESARIALES,1775,47
Otros,TALLER 1: AJUSTE Y MONTAJE,TIM10,65
Otros,TALLER 2: METROLOGÍA,TIM11,59
Otros,TALLER 3: MAQUINAS HERRAMIENTAS,TIM12,60
Otros,TALLER 4: MOTORES DE COMBUSTIÓN INTERNA,TIM13,60
Otros,TALLER 5: SOLDADURA,TIM14,62
1,TECNOLOGÍA Y UTILIZACIÓN DE GASES COMBUSTIBLES,1825,0
3,TECNOLOGÍA DEL HORMIGÓN,2371,52
