instituto,nombre,codigo,inscriptos
12,PRACTICA DE ADMINISTRACIÓN PARA INGENIEROS,1945,124
Otros,PROBABILIDAD Y ESTADÍSTICA,TI19,39
11,PROBABILIDAD Y ESTADÍSTICA,1025,281
3,PROCEDIMIENTOS DE CONSTRUCCIÓN PARA OBRAS VIALES Y SUEL,2352,50
Otros,PROCESADO DE TERMOPLASTICOS,TIM58,8
4,PROCESAMIENTO DE IMÁGENES PARA BIOLOGÍA Y MEDICINA,5847,0
9,PRODUCCIÓN CARTOGRÁFICA,TCI23,6
Otros,PROGRAMACIÓN DE APLICACIONES,TI16,4
7,PROGRAMACIÓN FUNCIONAL AVANZADA,1350,6
7,PROGRAMACIÓN 1,1373,1448
7,PROGRAMACIÓN 2,1321,267
7,PROGRAMACIÓN 3,1323,429
4,PROPAGACIÓN EN ENTORNOS URBANOS,5821,3
9,PROYECTO,TCI26,2
Otros,PROYECTO,TI27,2
3,"PROYECTO, PLANIFICACIÓN Y CONSTRUCCIÓN DE OBRAS 2",2407,8
9,PROYECTO (AGRIM.),2110,3
4,PROYECTO (ING.ELEC.),2013,22
1,PROYECTO (ING.NAVAL),2019,2
Otros,PROYECTO (ING FÍSICO-MAT),1885,2
7,PROYECTO DE GRADO,1730,66
1,PROYECTO DE INGENIERÍA MECÁNICA,2054,3
7,PROYECTO DE INGENIERÍA DE SOFTWARE,1721,117
4,PROYECTO DE INSTALACIONES ELECT. DE BAJA Y MEDIA TENSIÓN,5511,4
3,PROYECTO DE INVESTIGACIÓN E INNOVACIÓN EN INGENIERÍA EST,2410,0
Otros,PROYECTO DE INVERSIÓN,TIM64,3
3,PROYECTO ESTRUCTURAL 2,2406,0
2,PROYECTO HIDRAULICA-AMBIENTAL,2405,7
8,PROYECTO INDUSTRIAL 2,Q57,44
3,PROYECTO TRANSPORTE 1,2400,3
7,PROYECTO 1 (ING SIST COM.),2061,4
7,PROYECTO 2 (ING SIST COM),2062,1
3,PUENTES,2359,15
7,RECUPERACIÓN DE INFORMACIÓN Y RECOMENDACIONES EN LA W,1938,85
7,REDES DE COMPUTADORAS,1446,185
4,REDES DE DATOS 1,5824,84
4,REDES DE SENSORES INALÁMBRICOS,1538,29
4,REDES DE TRANSPORTE DE ALTA CAPACIDAD,5836,1
7,REDES NEURONALES PARA LENGUAJE NATURAL,1887,21
1,REFRIGERACIÓN,1638,37
Otros,REFRIGERACIÓN INDUSTRIAL,TIM45,11
Otros,RELACIONES PERSONALES Y LABORALES,TI20,5
3,RESISTENCIA DE MATERIALES 1,2368,79
3,RESISTENCIA DE MATERIALES 2,1312,46
3,SEGURIDAD EN LA CONSTRUCCIÓN,2246,53
Otros,SEGURIDAD INDUSTRIAL,TIM65,12
4,SEMINARIO DE INICIACIÓN A LA INVESTIGACIÓN,2907,4
4,SEMINARIO SOBRE ENCUENTROS ENTRE ARTE Y TECNOLOGÍAS,1236,3
4,SEÑALES ALEATORIAS Y MODULACIÓN,1460,78
7,SIMULACIÓN A EVENTOS DISCRETOS,1617,8
9,SISTEMAS DE INFORMACIÓN GEOGR. AVANZADO,TCI28,21
1,SISTEMAS OLEOHIDRAULICOS Y NEUMÁTICOS,2200,41
Otros,SISTEMAS OPERATIVOS,TI08,3
4,SISTEMAS Y CONTROL,5905,105
1,TALLER,2001,38
12,TALLER DE ADMINISTRACIÓN PARA INGENIERÍA CIVIL,1946,34
Otros,TALLER DE BASES DE DATOS NO SQL,TI46,22
Otros,TALLER DE CAMBIO TECNOLÓGICO EN INSTITUCIONES FINANCIERA,TI41,21
Otros,TALLER DE GESTIÓN DE REDES,TTR13,5
7,TALLER DE INGENIERÍA DIRIGIDA POR MODELOS,1770,16
3,TALLER DE INGENIERÍA CIVIL,2803,4
3,TALLER DE INGENIERÍA CIVIL,2804,32
3,TALLER DE INGENIERÍA CIVIL,2805,1
Otros,TALLER DE INGENIERÍA BIOLÓGICA II,LIB10,3
4,TALLER DE INTRODUCCIÓN A LA INGENIERÍA ELÉCTRICA,5904,31
